PCs/SiCs,0,1,2,3,4,5,6,7,8,9,10,11,Start,End,Rest
0,0.13192612137203166,0,0.18733509234828497,0,0.010554089709762533,0.1424802110817942,0,0.023746701846965697,0,0.16358839050131926,0.18997361477572558,0.013192612137203167,0,0.002638522427440633,0.1345646437994723
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.40384615384615385,0,0.08173076923076923,0,0.27403846153846156,0.02403846153846154,0,0.07692307692307693,0,0.004807692307692308,0.10096153846153846,0,0,0,0.03365384615384615
3,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.13125,0,0.35,0,0.0375,0.40625,0,0.00625,0,0.00625,0,0,0,0,0.0625
5,0.07105263157894737,0,0.12368421052631579,0,0.2026315789473684,0.17105263157894737,0,0.22105263157894736,0,0.010526315789473684,0.034210526315789476,0,0,0.005263157894736842,0.16052631578947368
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.15849056603773584,0,0.011320754716981131,0,0.04905660377358491,0.30943396226415093,0,0.15471698113207547,0,0.2490566037735849,0.007547169811320755,0,0,0,0.06037735849056604
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.047619047619047616,0,0.027777777777777776,0,0,0.17063492063492064,0,0.2619047619047619,0,0.09523809523809523,0.29365079365079366,0.007936507936507936,0,0.003968253968253968,0.09126984126984126
10,0.3333333333333333,0,0.004761904761904762,0.004761904761904762,0,0.04285714285714286,0,0.14761904761904762,0,0.38095238095238093,0.08095238095238096,0,0,0,0.004761904761904762
11,0.7142857142857143,0,0,0,0,0,0,0,0,0.2857142857142857,0,0,0,0,0
Start,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75
Rest,0.2578125,0,0.0234375,0,0.01171875,0.22265625,0,0.06640625,0,0.046875,0.04296875,0,0,0,0.328125
