PCs/SiCs,0,1,2,3,4,5,6,7,8,9,10,11,Start,End,Rest
0,0.0625,0,0.2708333333333333,0,0.010416666666666666,0.13541666666666666,0,0,0,0.11458333333333333,0.22916666666666666,0.010416666666666666,0,0.010416666666666666,0.15625
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.36,0,0.04,0,0.36,0.02666666666666667,0,0.09333333333333334,0,0,0.06666666666666667,0,0,0,0.05333333333333334
3,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.136986301369863,0,0.273972602739726,0,0.0547945205479452,0.410958904109589,0,0,0,0.0136986301369863,0,0,0,0,0.1095890410958904
5,0.07142857142857142,0,0.18253968253968253,0,0.2619047619047619,0.23015873015873015,0,0.14285714285714285,0,0,0,0,0,0,0.1111111111111111
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.15555555555555556,0,0.022222222222222223,0,0.13333333333333333,0.35555555555555557,0,0.08888888888888889,0,0.2,0.022222222222222223,0,0,0,0.022222222222222223
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.10416666666666667,0,0,0,0,0.22916666666666666,0,0.22916666666666666,0,0.08333333333333333,0.2708333333333333,0.020833333333333332,0,0,0.0625
10,0.375,0,0.020833333333333332,0.020833333333333332,0,0,0,0.020833333333333332,0,0.4166666666666667,0.14583333333333334,0,0,0,0
11,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0
Start,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
Rest,0.1875,0,0.015625,0,0.03125,0.390625,0,0.0625,0,0.03125,0,0,0,0,0.28125
