PCs/SiCs,0,1,2,3,4,5,6,7,8,9,10,11,Start,End,Rest
0,0.09375,0,0.125,0,0,0.078125,0,0.03125,0,0.296875,0.265625,0.046875,0,0,0.0625
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.34782608695652173,0,0.043478260869565216,0,0.30434782608695654,0.043478260869565216,0,0.043478260869565216,0,0,0.17391304347826086,0,0,0,0.043478260869565216
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.07692307692307693,0,0.3076923076923077,0,0.038461538461538464,0.46153846153846156,0,0.038461538461538464,0,0,0,0,0,0,0.07692307692307693
5,0.05357142857142857,0,0.017857142857142856,0,0.2857142857142857,0.10714285714285714,0,0.23214285714285715,0,0.05357142857142857,0.03571428571428571,0,0,0.017857142857142856,0.19642857142857142
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.06741573033707865,0,0,0,0.02247191011235955,0.1797752808988764,0,0.2696629213483146,0,0.3595505617977528,0.011235955056179775,0,0,0,0.0898876404494382
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.027522935779816515,0,0.03669724770642202,0,0,0.09174311926605505,0,0.26605504587155965,0,0.14678899082568808,0.25688073394495414,0.009174311926605505,0,0,0.1651376146788991
10,0.16129032258064516,0,0,0,0,0,0,0.25806451612903225,0,0.4838709677419355,0.08064516129032258,0,0,0,0.016129032258064516
11,0.75,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0
Start,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rest,0.3055555555555556,0,0.013888888888888888,0,0,0.08333333333333333,0,0.041666666666666664,0,0.1111111111111111,0.06944444444444445,0,0,0,0.375
