PCs/SiCs,0,1,2,3,4,5,6,7,8,9,10,11,Start,End,Rest
0,0.24060150375939848,0,0.19548872180451127,0,0,0.09774436090225563,0,0.015037593984962405,0,0.18796992481203006,0.18045112781954886,0.007518796992481203,0,0,0.07518796992481203
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.43859649122807015,0,0.19298245614035087,0,0.21052631578947367,0,0,0.03508771929824561,0,0,0.10526315789473684,0,0,0,0.017543859649122806
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.16666666666666666,0,0.4166666666666667,0,0.041666666666666664,0.375,0,0,0,0,0,0,0,0,0
5,0.109375,0,0.0625,0,0.15625,0.109375,0,0.234375,0,0.015625,0.03125,0,0,0,0.28125
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.17647058823529413,0,0,0,0,0.43137254901960786,0,0.0392156862745098,0,0.23529411764705882,0,0,0,0,0.11764705882352941
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.034482758620689655,0,0.05172413793103448,0,0,0.1724137931034483,0,0.2413793103448276,0,0.034482758620689655,0.41379310344827586,0,0,0.017241379310344827,0.034482758620689655
10,0.49206349206349204,0,0,0,0,0,0,0.19047619047619047,0,0.2857142857142857,0.031746031746031744,0,0,0,0
11,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
Rest,0.3492063492063492,0,0.047619047619047616,0,0.015873015873015872,0.047619047619047616,0,0.06349206349206349,0,0,0.07936507936507936,0,0,0,0.3968253968253968
