PCs/SiCs,0,1,2,3,4,5,6,7,8,9,10,11,Start,End,Rest
0,0.22,0.0,0.2,0.0,0.02,0.03,0.0,0.07,0.0,0.06,0.0,0.23,0.0,0.01,0.16
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.43,0.0,0.09,0.0,0.32,0.01,0.0,0.04,0.0,0.0,0.0,0.09,0.0,0.0,0.01
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.13,0.0,0.4,0.0,0.12,0.24,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.1
5,0.02,0.0,0.08,0.0,0.51,0.06,0.0,0.33,0.0,0.01,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.14,0.0,0.01,0.0,0.08,0.18,0.03,0.22,0.0,0.2,0.0,0.01,0.0,0.01,0.13
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.03,0.0,0.01,0.1,0.0,0.5,0.0,0.08,0.01,0.27,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.47,0.0,0.04,0.0,0.01,0.0,0.0,0.07,0.0,0.27,0.0,0.13,0.0,0.0,0.01
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.75
Rest,0.17,0.0,0.04,0.0,0.05,0.01,0.0,0.14,0.0,0.02,0.0,0.01,0.0,0.0,0.58
