PCs/SiCs,0,1,2,3,4,5,6,7,8,9,10,11,Start,End,Rest
0,0.18,0.0,0.26,0.0,0.0,0.0,0.0,0.02,0.0,0.05,0.0,0.35,0.0,0.02,0.13
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.38,0.0,0.1,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.14,0.0,0.4,0.0,0.17,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17
5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.26,0.0,0.0,0.0,0.0,0.1,0.0,0.26,0.0,0.19,0.0,0.0,0.0,0.0,0.19
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.54,0.0,0.17,0.0,0.25,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.41,0.0,0.05,0.0,0.02,0.0,0.0,0.07,0.0,0.27,0.0,0.17,0.0,0.0,0.0
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rest,0.13,0.0,0.06,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.02,0.0,0.0,0.58
