PCs/SiCs,0,1,2,3,4,5,6,7,8,9,10,11,Start,End,Rest
0,0.23,0.0,0.24,0.0,0.02,0.03,0.0,0.0,0.0,0.02,0.0,0.27,0.0,0.02,0.18
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.36,0.0,0.16,0.0,0.32,0.02,0.0,0.05,0.0,0.0,0.0,0.09,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.19,0.0,0.41,0.0,0.16,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06
5,0.0,0.0,0.22,0.0,0.39,0.11,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.13,0.0,0.0,0.0,0.09,0.16,0.03,0.22,0.0,0.22,0.0,0.0,0.0,0.0,0.16
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.69,0.0,0.0,0.0,0.19,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.48,0.0,0.07,0.0,0.0,0.0,0.0,0.04,0.0,0.3,0.0,0.11,0.0,0.0,0.0
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Rest,0.2,0.0,0.07,0.0,0.04,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.59
